seed,condition,tx_ibo_db,rx_backoff_db,mode,modulation,snr_db,delta_pd,delta_lo,delta_hi
101,tx_3dB,3.0,,frozen,16qam,8,0.0,0.0,0.0
101,tx_3dB,3.0,,frozen,32qam,8,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,bpsk,8,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,qpsk,8,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,16qam,8,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,32qam,8,0.0,0.0,0.0
101,tx_3dB,3.0,,frozen,bpsk,10,0.0,0.0,0.0
101,tx_3dB,3.0,,frozen,qpsk,10,0.0,0.0,0.0
101,tx_3dB,3.0,,frozen,16qam,10,0.0,0.0,0.0
101,tx_3dB,3.0,,frozen,32qam,10,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,bpsk,10,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,qpsk,10,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,16qam,10,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,32qam,10,0.0,0.0,0.0
101,tx_0dB,0.0,,frozen,bpsk,-10,0.394,0.364,0.424
101,tx_0dB,0.0,,frozen,qpsk,-10,0.147,0.121975,0.172
101,tx_0dB,0.0,,frozen,16qam,-10,0.451,0.417,0.48202499999999987
101,tx_0dB,0.0,,frozen,32qam,-10,0.433,0.4,0.466
101,tx_0dB,0.0,,recalibrated,bpsk,-10,0.394,0.364,0.424
101,tx_0dB,0.0,,recalibrated,qpsk,-10,0.147,0.121975,0.172
101,tx_0dB,0.0,,recalibrated,16qam,-10,0.451,0.417,0.48202499999999987
101,tx_0dB,0.0,,recalibrated,32qam,-10,0.433,0.4,0.466
101,tx_0dB,0.0,,frozen,bpsk,-8,0.175,0.152,0.199
101,tx_0dB,0.0,,frozen,qpsk,-8,0.056,0.042,0.071
101,tx_0dB,0.0,,frozen,16qam,-8,0.445,0.414975,0.475
101,tx_0dB,0.0,,frozen,32qam,-8,0.431,0.4,0.461
101,tx_0dB,0.0,,recalibrated,bpsk,-8,0.175,0.152,0.199
101,tx_0dB,0.0,,recalibrated,qpsk,-8,0.056,0.042,0.071
